Fecha,PedidoID,ProductoID,Producto,Categoria,Cantidad,PrecioUnitario,CostoUnitario,Descuento,Canal,Ciudad,VentaBruta,MontoDescuento,VentaNeta,CostoTotal,Utilidad,Anio,Mes,Dia,DiaSemana,Semana,StockActual,StockMinimo,LeadTimeDias,Proveedor,FechaUltimaCompra
2026-12-30,PED153,PROD01,Producto A,Categoría 1,7,80,45,0.1,App,Lima,560,56.0,504.0,315,189.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED154,PROD06,Producto F,Categoría 3,6,95,52,0.05,Web,Chimbote,570,28.5,541.5,312,229.5,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED155,PROD03,Producto C,Categoría 2,9,55,30,0.0,Tienda,Trujillo,495,0.0,495.0,270,225.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED156,PROD07,Producto G,Categoría 4,4,150,90,0.12,App,Santa,600,72.0,528.0,360,168.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED157,PROD05,Producto E,Categoría 3,12,35,18,0.08,Web,Lima,420,33.6,386.4,216,170.39999999999998,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED158,PROD02,Producto B,Categoría 1,5,120,70,0.05,Tienda,Chimbote,600,30.0,570.0,350,220.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED159,PROD04,Producto D,Categoría 2,3,200,125,0.15,App,Trujillo,600,90.0,510.0,375,135.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED160,PROD01,Producto A,Categoría 1,10,80,45,0.1,Web,Lima,800,80.0,720.0,450,270.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED161,PROD06,Producto F,Categoría 3,7,95,52,0.05,Tienda,Trujillo,665,33.25,631.75,364,267.75,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED162,PROD03,Producto C,Categoría 2,11,55,30,0.0,App,Lima,605,0.0,605.0,330,275.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED163,PROD07,Producto G,Categoría 4,4,150,90,0.12,Web,Santa,600,72.0,528.0,360,168.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-30,PED164,PROD05,Producto E,Categoría 3,16,35,18,0.08,Tienda,Chimbote,560,44.800000000000004,515.2,288,227.20000000000005,2026,12,30,Wednesday,53,80,25,6,Proveedor E,2026-08-15
2026-12-30,PED165,PROD02,Producto B,Categoría 1,9,120,70,0.05,App,Trujillo,1080,54.0,1026.0,630,396.0,2026,12,30,Wednesday,53,45,20,10,Proveedor B,2026-08-05
2026-12-30,PED166,PROD04,Producto D,Categoría 2,3,200,125,0.15,Web,Lima,600,90.0,510.0,375,135.0,2026,12,30,Wednesday,53,32,15,14,Proveedor D,2026-07-28
2026-12-30,PED167,PROD01,Producto A,Categoría 1,12,80,45,0.1,Tienda,Santa,960,96.0,864.0,540,324.0,2026,12,30,Wednesday,53,120,30,7,Proveedor A,2026-08-10
2026-12-30,PED168,PROD06,Producto F,Categoría 3,6,95,52,0.05,App,Chimbote,570,28.5,541.5,312,229.5,2026,12,30,Wednesday,53,14,20,8,Proveedor F,2026-08-01
2026-12-30,PED169,PROD03,Producto C,Categoría 2,8,55,30,0.0,Web,Trujillo,440,0.0,440.0,240,200.0,2026,12,30,Wednesday,53,18,25,5,Proveedor C,2026-08-12
2026-12-30,PED170,PROD07,Producto G,Categoría 4,5,150,90,0.12,Tienda,Lima,750,90.0,660.0,450,210.0,2026,12,30,Wednesday,53,27,10,12,Proveedor G,2026-07-30
2026-12-31,PED171,PROD08,Producto G,Categoría 5,5,150,90,0.12,Tienda,Lima,750,90.0,660.0,450,210.0,2026,12,31,Thursday,53,60,20,9,Proveedor H,2026-08-08
